"目录","txt文件数","官方md","顶层键总数","唯一键数"
"acceptance_statuses","1","readme.md","5","5"
"achievements","9","","141","141"
"ai_strategic_region_stance_types","1","ai_strategic_region_stance_types.md","4","4"
"ai_strategies","5","","35","35"
"alert_groups","1","","24","24"
"alert_types","1","","68","68"
"amendments","6","amendments.md","67","67"
"battle_conditions","1","battle_condition.md","21","21"
"building_groups","1","","69","69"
"buildings","14","buildings.md","115","115"
"buy_packages","1","","99","99"
"character_interactions","4","","21","21"
"character_roles","3","character_roles.md","10","10"
"character_templates","210","","1983","1983"
"character_traits","5","character_traits.md","121","121"
"coat_of_arms","0","","0","0"
"cohesion_levels","1","","5","5"
"combat_unit_experience_levels","1","","5","5"
"combat_unit_groups","1","","4","4"
"combat_unit_types","1","","19","19"
"commander_orders","2","orders.md","12","12"
"commander_ranks","1","","6","6"
"company_charter_types","1","company_charter_types.md","5","5"
"company_types","22","companies.md","221","221"
"console_command_macros","1","","3","3"
"country_creation","1","","394","394"
"country_definitions","4","","830","830"
"country_formation","2","","74","74"
"country_ranks","1","","8","8"
"country_types","1","","5","5"
"culture_graphics","1","","10","10"
"cultures","1","","317","317"
"customizable_localization","28","","480","480"
"decisions","34","","60","60"
"decrees","1","","11","11"
"defines","6","","71","46"
"diplomatic_actions","48","diplomatic_action.md","55","55"
"diplomatic_catalyst_categories","1","diplomatic_catalyst_categories.md","35","35"
"diplomatic_catalysts","3","diplomatic_catalysts.md","77","77"
"diplomatic_plays","1","diplomatic_plays.md","52","52"
"discrimination_trait_groups","3","discrimination_trait_groups.md","89","89"
"discrimination_traits","4","discrimination_traits.md","324","324"
"dna_data","584","dna_data.md","583","583"
"dynamic_company_names","1","","10","10"
"dynamic_country_map_colors","1","","75","75"
"dynamic_country_names","1","dynamic_country_names.md","147","147"
"dynamic_treaty_names","1","readme.md","34","34"
"effect_localization","18","","297","297"
"ethnicities","21","","40","37"
"flag_definitions","2","","433","433"
"game_concepts","2","","612","612"
"game_rules","1","game_rules.md","15","15"
"genes","8","genes.md","10","6"
"geographic_regions","9","geographic_regions.md","165","165"
"goods","1","goods.md","53","53"
"government_types","10","","444","444"
"harvest_condition_types","2","harvest_condition_types.md","22","22"
"history","0","","0","0"
"ideologies","6","","172","172"
"institutions","1","institutions.md","7","7"
"interest_group_traits","8","","99","99"
"interest_groups","8","","8","8"
"interest_tier_types","1","interest_tier_types.md","6","6"
"journal_entries","172","journal_entries.md","419","419"
"journal_entry_groups","1","","27","27"
"labels","1","","7","7"
"law_groups","1","","26","26"
"laws","25","readme.md","138","138"
"legitimacy_levels","1","","5","5"
"liberty_desire_levels","1","","3","3"
"map_interaction_types","1","","32","32"
"map_notification_types","1","","23","23"
"messages","8","","472","472"
"military_formation_flags","1","formation_flags.md","30","30"
"mobilization_option_groups","1","mobilization_option_groups.md","6","6"
"mobilization_options","1","mobilization_options.md","18","18"
"modifier_type_definitions","15","modifier_types.md","2364","2364"
"named_colors","4","","4","1"
"naval_battle_conditions","1","naval_battle_conditions.md","7","7"
"naval_mission_types","1","naval_mission_types.md","9","9"
"objective_subgoal_categories","1","categories.md","5","5"
"objective_subgoals","5","subgoals.md","86","86"
"objectives","2","objectives.md","5","5"
"on_actions","6","_on_actions.md","263","263"
"opinion_modifiers","1","opinion_modifiers.md","6","6"
"parties","12","","12","12"
"political_lobbies","1","political_lobbies.md","4","4"
"political_lobby_appeasement","1","political_lobby_appeasement.md","49","49"
"political_movement_categories","1","political_movement_categories.md","5","5"
"political_movement_pop_support","1","political_movement_pop_support.md","60","60"
"political_movements","7","political_movements.md","39","39"
"pop_needs","1","","15","15"
"pop_types","15","pop_types.md","15","15"
"power_bloc_coa_pieces","1","","220","220"
"power_bloc_identities","1","power_bloc_identities.md","6","6"
"power_bloc_map_textures","1","","18","18"
"power_bloc_names","1","power_bloc_names.md","199","199"
"power_bloc_principle_groups","1","power_bloc_principle_groups.md","23","23"
"power_bloc_principles","1","power_bloc_principles.md","69","69"
"prestige_goods","1","prestige_goods.md","72","72"
"production_method_groups","15","production_method_groups.md","197","197"
"production_methods","15","production_methods.md","433","433"
"proposal_types","1","","10","10"
"religions","1","","17","17"
"script_values","29","script_values.md","264","264"
"scripted_buttons","50","scripted_buttons.md","218","218"
"scripted_effects","40","","720","720"
"scripted_guis","4","scripted_guis.md","23","23"
"scripted_lists","1","","5","5"
"scripted_modifiers","0","scripted_modifiers.md","0","0"
"scripted_progress_bars","14","scripted_progress_bars.md","27","27"
"scripted_rules","1","","18","18"
"scripted_triggers","25","","737","737"
"ship_groups","1","ship_groups.md","4","4"
"ship_modification_slots","1","ship_modification_slots.md","7","7"
"ship_modifications","2","ship_modifications.md","259","259"
"ship_name_definitions","14","ship_name_definitions.md","86","86"
"ship_types","1","ship_types.md","21","21"
"ship_veterancy_levels","1","ship_veterancy_levels.md","5","5"
"social_classes","3","readme.md","14","14"
"social_hierarchies","1","readme.md","3","3"
"state_traits","13","","239","239"
"static_modifiers","68","","6118","6118"
"strait_definitions","1","strait_definitions.md","12","12"
"strategic_regions","7","strategic_regions.md","142","142"
"subject_types","1","","9","9"
"technology","0","","0","0"
"terrain","1","","25","25"
"terrain_manipulators","1","","11","11"
"themes","1","themes.md","60","60"
"travel_network","1","","2","2"
"treaty_articles","34","treaty_articles.md","34","34"
"trigger_localization","3","trigger_localization.md","1681","1681"
"tutorial_lesson_chains","1","tutorial_lesson_chains.md","3","3"
"tutorial_lessons","32","tutorial_lesson.md","66","66"
"war_goal_types","39","war_goal_types.md","39","39"
